driverId,avg_change,consistency,avg_finish,avg_qual,cluster,db_cluster,cluster_name
837,1.5,2.15322168769582,18.666666666666668,20.166666666666668,2,0,Consistent Climbers
838,1.880952380952381,4.266731089815607,13.19047619047619,15.071428571428571,1,0,Race Improvers
839,0.4129032258064516,4.692889200590133,11.180645161290322,11.593548387096774,0,0,Underperformers
840,1.6547619047619047,4.6776165884945335,12.369047619047619,14.023809523809524,1,0,Race Improvers
841,0.7049180327868853,3.9257452043957293,13.836065573770492,14.540983606557377,1,0,Race Improvers
842,-0.09803921568627451,4.9706569324946654,11.248366013071895,11.15032679738562,0,0,Underperformers
843,0.44,4.882622246293481,15.04,15.48,1,0,Race Improvers
844,-1.348993288590604,5.716176872153141,7.557046979865772,6.208053691275167,0,0,Underperformers
845,1.4285714285714286,3.8932175455711255,15.523809523809524,16.952380952380953,1,0,Race Improvers
846,-0.6328125,4.540059824348288,7.8515625,7.21875,0,0,Underperformers
847,-0.203125,5.028046340279691,10.53125,10.328125,0,0,Underperformers
848,0.028846153846153848,4.797767949420847,11.932692307692308,11.961538461538462,0,0,Underperformers
849,2.0327868852459017,3.346476819555924,15.852459016393443,17.885245901639344,2,0,Consistent Climbers
850,1.5,2.1213203435596424,18.0,19.5,2,0,Consistent Climbers
852,-0.7777777777777778,4.578351054367578,13.522222222222222,12.744444444444444,1,0,Race Improvers
853,1.7272727272727273,1.6382865085151266,17.863636363636363,19.59090909090909,2,0,Consistent Climbers
854,0.6744186046511628,4.39545723409846,15.604651162790697,16.27906976744186,1,0,Race Improvers
855,1.5441176470588236,3.930112692658745,14.647058823529411,16.191176470588236,1,0,Race Improvers
856,1.3636363636363635,2.419616799112094,15.272727272727273,16.636363636363637,2,0,Consistent Climbers
857,-0.34782608695652173,4.463269311486806,7.891304347826087,7.543478260869565,0,0,Underperformers
858,1.0555555555555556,4.1192540548324965,16.333333333333332,17.38888888888889,1,0,Race Improvers
859,0.45454545454545453,3.9080336836735774,12.909090909090908,13.363636363636363,1,0,Race Improvers
860,3.3333333333333335,2.0816659994661326,9.666666666666666,13.0,1,-1,Race Improvers
861,2.2222222222222223,2.7284509239574835,13.555555555555555,15.777777777777779,1,0,Race Improvers
