driverId,avg_gain,gain_pct,volatility,p10_gain,p90_gain,avg_qual,avg_finish,gain_per_qual_rank,teammate_delta_avg,race_count,year,forename,surname,driver_name,pca1,pca2,cluster,cluster_name,dbscan_cluster,era
13,-0.05263157894736842,0.42105263157894735,6.586802328313846,-8.0,5.199999999999992,7.7894736842105265,7.842105263157895,-0.006756756756756756,0.0,19,2010,Felipe,Massa,F. Massa,-0.5249056105275693,0.6169038609342828,0,Midfield Stabilizers,0,2010+
15,0.10526315789473684,0.47368421052631576,3.57296541703737,-4.2,5.199999999999999,19.36842105263158,19.263157894736842,0.005434782608695652,0.0,19,2010,Jarno,Trulli,J. Trulli,0.5446332982056751,-0.8222411697314025,0,Midfield Stabilizers,0,2010+
16,0.0,0.42105263157894735,4.749268949591669,-5.6,6.199999999999999,11.736842105263158,11.736842105263158,0.0,0.0,19,2010,Adrian,Sutil,A. Sutil,0.18274177933548533,-0.0544143796051969,0,Midfield Stabilizers,0,2010+
17,-3.526315789473684,0.21052631578947367,6.7360425329601314,-9.799999999999999,1.0,2.526315789473684,6.052631578947368,-1.3958333333333333,0.0,19,2010,Mark,Webber,M. Webber,-3.9087173992377533,-0.8273956569425531,1,Volatile Drivers,-1,2010+
18,0.5789473684210527,0.631578947368421,6.743851433991016,-7.0,6.599999999999998,6.947368421052632,6.368421052631579,0.08333333333333333,0.0,19,2010,Jenson,Button,J. Button,0.41424334432303483,1.1610909921713781,0,Midfield Stabilizers,0,2010+
20,-4.0,0.21052631578947367,6.582805886043833,-16.0,1.1999999999999993,2.0,6.0,-2.0,0.0,19,2010,Sebastian,Vettel,S. Vettel,-5.195708650651957,-0.5626073873471716,1,Volatile Drivers,-1,2010+
22,-1.5263157894736843,0.3684210526315789,5.757781411587777,-8.2,3.3999999999999986,9.526315789473685,11.052631578947368,-0.16022099447513813,0.0,19,2010,Rubens,Barrichello,R. Barrichello,-1.2003202535435835,-0.26651748723568597,0,Midfield Stabilizers,0,2010+
24,0.3157894736842105,0.5789473684210527,6.209782887410149,-7.2,6.399999999999999,15.263157894736842,14.947368421052632,0.020689655172413793,0.0,19,2010,Vitantonio,Liuzzi,V. Liuzzi,0.22845983673227893,0.8438671011148251,0,Midfield Stabilizers,0,2010+
29,4.571428571428571,1.0,2.878491668515698,1.0,8.0,23.285714285714285,18.714285714285715,0.19631901840490798,0.0,7,2010,Sakon,Yamamoto,S. Yamamoto,3.7941988087258878,-0.17261018213326762,2,Consistent Climbers,0,2010+
30,-0.631578947368421,0.631578947368421,5.41818467258166,-6.6,4.0,9.421052631578947,10.052631578947368,-0.0670391061452514,0.0,19,2010,Michael,Schumacher,M. Schumacher,-0.044046161768157004,-0.10529696575486039,0,Midfield Stabilizers,0,2010+
37,-2.0714285714285716,0.5,6.855253860690024,-11.4,3.700000000000001,14.428571428571429,16.5,-0.14356435643564358,0.0,14,2010,Pedro,de la Rosa,P. de la Rosa,-1.4651034756214736,0.5707714086476161,0,Midfield Stabilizers,0,2010+
67,0.3157894736842105,0.5789473684210527,4.865440845379074,-7.2,5.399999999999999,14.789473684210526,14.473684210526315,0.021352313167259787,0.0,19,2010,Sébastien,Buemi,S. Buemi,0.341721363366676,0.05958514636075814,0,Midfield Stabilizers,0,2010+
153,2.6842105263157894,0.7368421052631579,3.757254192136524,-1.4,6.0,15.631578947368421,12.947368421052632,0.1717171717171717,0.0,19,2010,Jaime,Alguersuari,J. Alguersuari,2.1607875175860123,-0.4115990916512126,2,Consistent Climbers,0,2010+
155,-0.8947368421052632,0.42105263157894735,7.49736795921005,-11.0,9.399999999999999,13.789473684210526,14.68421052631579,-0.0648854961832061,0.0,19,2010,Kamui,Kobayashi,K. Kobayashi,-0.668208302570214,2.1642756739992577,0,Midfield Stabilizers,-1,2010+
807,-3.1052631578947367,0.3157894736842105,5.290397347417985,-11.4,2.1999999999999993,10.947368421052632,14.052631578947368,-0.28365384615384615,0.0,19,2010,Nico,Hülkenberg,N. Hülkenberg,-2.142550346792115,-0.642680127470568,1,Volatile Drivers,0,2010+
808,-0.10526315789473684,0.5263157894736842,5.762857478351298,-6.4,4.599999999999998,13.526315789473685,13.631578947368421,-0.007782101167315174,0.0,19,2010,Vitaly,Petrov,V. Petrov,-0.07635028069127708,0.10982918529995508,0,Midfield Stabilizers,0,2010+
810,2.789473684210526,0.7894736842105263,3.137212977016048,-1.2,6.0,22.105263157894736,19.31578947368421,0.1261904761904762,0.0,19,2010,Lucas,di Grassi,L. di Grassi,2.380740451878782,-0.6411902444484696,2,Consistent Climbers,0,2010+
811,3.5,0.8888888888888888,3.312187832127598,0.40000000000000036,7.300000000000001,22.77777777777778,19.27777777777778,0.15365853658536585,0.0,18,2010,Bruno,Senna,B. Senna,3.0629035459071305,-0.2598903339102145,2,Consistent Climbers,0,2010+
812,5.4,0.9,3.062315754094894,1.8,9.1,23.4,18.0,0.2307692307692308,0.0,10,2010,Karun,Chandhok,K. Chandhok,3.9580793542817436,0.06328234332525004,2,Consistent Climbers,0,2010+
1,-3.4210526315789473,0.3157894736842105,7.388548116839587,-18.2,1.1999999999999993,3.3157894736842106,6.7368421052631575,-1.0317460317460316,0.0,19,2011,Lewis,Hamilton,L. Hamilton,-4.167877346398905,0.259219891648247,1,Volatile Drivers,1,2010+
2,-0.3,0.6,7.916929820187733,-11.2,8.0,12.4,12.7,-0.024193548387096774,0.0,10,2011,Nick,Heidfeld,N. Heidfeld,-0.38227792817903966,2.1890455216377447,0,Midfield Stabilizers,0,2010+
3,-1.368421052631579,0.21052631578947367,5.251566182427967,-6.0,1.3999999999999986,7.578947368421052,8.947368421052632,-0.18055555555555558,0.0,19,2011,Nico,Rosberg,N. Rosberg,-1.4958836100931543,-1.2368113336869255,0,Midfield Stabilizers,0,2010+
4,0.21052631578947367,0.7894736842105263,5.105323445716257,-1.2,3.0,4.631578947368421,4.421052631578948,0.04545454545454545,0.0,19,2011,Fernando,Alonso,F. Alonso,1.0453259313478183,-0.6706019248081121,2,Consistent Climbers,-1,2010+
5,1.0526315789473684,0.631578947368421,3.93663257409068,-3.8,5.0,18.473684210526315,17.42105263157895,0.05698005698005698,0.0,19,2011,Heikki,Kovalainen,H. Kovalainen,1.0872931616974562,-0.5774925844871588,2,Consistent Climbers,0,2010+
